Team1,Team2,Winner,Margin,Ground,T-20 Int Match,Team1 Avg Batting Ranking,Team2 Avg Batting Ranking,Team1 Avg Bowling Ranking,Team2 Avg Bowling Ranking,Team1 Total WCs participated,Team1 Total WCs won,Team2 Total WCs participated,Team2 Total WCs won,Team1 win % over Team2,Match Year,Match Month,Match Day,Margin (Runs),Margin (Wickets),Batting Ranking Difference,Bowling Ranking Difference
South Africa,Sri Lanka,Sri Lanka,5 runs,Chattogram,379,84.07,76.93,75.6,68.27,4,0,4,0,75.0,2014,3,22,5.0,0.0,7.139999999999986,7.329999999999998
India,Pakistan,India,7 wickets,Mirpur,378,70.93,72.13,87.4,72.33,4,1,4,1,60.0,2014,3,21,0.0,7.0,1.1999999999999886,15.070000000000007
Ireland,Netherlands,Netherlands,6 wickets,Sylhet,377,85.8,88.27,79.8,82.47,3,0,1,0,66.6,2014,3,21,0.0,6.0,2.469999999999999,2.6700000000000017
UAE,Zimbabwe,Zimbabwe,5 wickets,Sylhet,376,101.0,83.47,101.0,93.73,0,0,3,0,0.0,2014,3,21,0.0,5.0,17.53,7.269999999999996
Bangladesh,Hong Kong,Hong Kong,2 wickets,Chattogram,375,83.27,101.0,84.93,101.0,4,0,0,0,0.0,2014,3,20,0.0,2.0,17.730000000000004,16.069999999999993
Afghanistan,Nepal,Nepal,9 runs,Chattogram,374,92.47,99.27,96.2,101.0,2,0,0,0,0.0,2014,3,20,9.0,0.0,6.799999999999997,4.799999999999997
Ireland,UAE,Ireland,21 runs,Sylhet,373,85.6,101.0,80.4,101.0,3,0,0,0,0.0,2014,3,19,21.0,0.0,15.400000000000006,20.599999999999994
Netherlands,Zimbabwe,Zimbabwe,5 wickets,Sylhet,372,89.0,84.53,83.8,93.67,1,0,3,0,0.0,2014,3,19,0.0,5.0,4.469999999999999,9.870000000000005
Bangladesh,Nepal,Bangladesh,8 wickets,Chattogram,371,83.4,101.0,84.8,101.0,4,0,0,0,0.0,2014,3,18,0.0,8.0,17.599999999999994,16.200000000000003
Afghanistan,Hong Kong,Afghanistan,7 wickets,Chattogram,370,92.07,101.0,95.67,101.0,2,0,0,0,0.0,2014,3,18,0.0,7.0,8.930000000000007,5.329999999999998
Netherlands,UAE,Netherlands,6 wickets,Sylhet,369,91.33,101.0,84.13,101.0,1,0,0,0,0.0,2014,3,17,0.0,6.0,9.670000000000002,16.870000000000005
